split,trades,net_profit,profit_factor,win_rate,max_drawdown,max_drawdown_pct,expectancy,avg_r,fast_ema_period,slow_ema_period,adx_period,trend_adx_threshold,range_adx_threshold,rsi_period,trend_buy_max_rsi,trend_sell_min_rsi,atr_period,min_atr_factor,bands_period,range_lookback_bars,range_min_width_atr,range_max_width_atr,range_ema_gap_atr,min_trend_efficiency_ratio,max_trend_choppiness,min_trend_ema_gap_atr,min_trend_di_gap,pullback_atr,breakout_buffer_atr,range_edge_buffer_atr,range_reward_risk,trend_atr_stop_multiplier,trend_reward_risk,long_trend_reward_risk,short_trend_reward_risk,max_signal_bar_atr,allow_range,allow_trend
train,326,-0.717408478846694,0.8121637107852617,45.39877300613497,0.8724166699807938,0.8716995238614901,-0.0022006395056647057,-0.08343558282208577,21,55,14,28.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,2.9,1.7,0.0,1.2,True,True
train,334,-0.7302513195935056,0.8366304467830624,44.91017964071856,1.0244230473631006,1.0241026931576973,-0.0021863811963877414,-0.08203592814371216,21,55,14,22.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,2.2,1.7,0.0,1.2,True,True
train,334,-0.7393174143632518,0.8140793434861666,44.31137724550898,1.0307892659628521,1.0297612536354679,-0.002213525192704347,-0.1017964071856289,21,55,14,24.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,2.2,1.7,0.0,1.2,True,True
train,331,-0.743451734089192,0.8272891804937454,45.01510574018127,1.088611884809609,1.0877170213624945,-0.002246077746493027,-0.08549848942598168,21,55,14,24.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,2.2,1.7,0.0,1.2,True,True
train,326,-0.754865524386471,0.7977466776229803,45.0920245398773,0.9346680355327806,0.9338183053862232,-0.002315538418363408,-0.09171779141104286,21,55,14,28.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,1.7,1.7,0.0,1.2,True,True
train,326,-0.754865524386471,0.7977466776229803,45.0920245398773,0.9346680355327806,0.9338183053862232,-0.002315538418363408,-0.09171779141104286,21,55,14,28.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,2.2,1.7,0.0,1.2,True,True
train,326,-0.754865524386471,0.7977466776229803,45.0920245398773,0.9346680355327806,0.9338183053862232,-0.002315538418363408,-0.09171779141104286,21,55,14,28.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,2.9,1.7,0.0,1.2,True,True
train,337,-0.7764391076585413,0.8093738552513451,44.510385756676556,0.9412032919756683,0.9407423276525844,-0.002303973613230093,-0.09525222551928826,21,55,14,22.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,1.7,1.7,0.0,1.2,True,True
train,335,-0.7877722234247517,0.8156853901738065,44.47761194029851,1.030125626571575,1.0297310196176044,-0.0023515588758947813,-0.0928358208955222,21,55,14,22.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,2.2,1.7,0.0,1.2,True,True
train,337,-0.7897973670186708,0.8076336279663981,44.21364985163205,1.0113245789165575,1.0108292719473693,-0.002343612365040566,-0.10029673590504481,21,55,14,22.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,2.2,1.7,0.0,1.2,True,True
train,333,-0.8071987159752347,0.8055124848075749,44.44444444444444,1.102225990301264,1.1012239290167523,-0.002424020168093798,-0.09909909909909895,21,55,14,24.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,2.2,1.7,0.0,1.2,True,True
train,331,-0.8285962754603338,0.8075093039497627,45.01510574018127,1.088611884809609,1.0877170213624945,-0.0025033120104541806,-0.08700906344410851,21,55,14,24.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,1.7,1.7,0.0,1.2,True,True
train,334,-0.8422228367958473,0.81158052732718,44.91017964071856,1.0512500231942994,1.0509212797452647,-0.0025216252598678065,-0.08502994011976003,21,55,14,22.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,1.7,1.7,0.0,1.2,True,True
train,333,-0.8753143490721528,0.7891006150107145,44.44444444444444,1.102225990301264,1.1012239290167523,-0.0026285716188352935,-0.1006006006006005,21,55,14,24.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,1.7,1.7,0.0,1.2,True,True
train,335,-0.8773494371866286,0.7947270614680028,44.47761194029851,1.0515872072365369,1.0511843790629836,-0.0026189535438406824,-0.09582089552238791,21,55,14,22.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,1.7,1.7,0.0,1.2,True,True
