split,open_time,close_time,side,regime,reason,entry,sl,tp,exit,exit_reason,pnl,pnl_points,r_multiple,bars_held
test,2025-06-26 06:00:00,2025-06-26 06:00:00,sell,range,range_sell_research,3339.54,3341.475833323774,3337.6041666762258,3341.475833323774,sl,-0.019358333237742047,-1.9358333237742045,-1.0,0
test,2025-07-02 05:30:00,2025-07-02 05:30:00,buy,range,range_buy_research,3330.95,3328.8148825852486,3333.085117414751,3333.085117414751,tp,0.02135117414751221,2.135117414751221,1.0,0
test,2025-07-02 20:15:00,2025-07-02 21:00:00,sell,range,range_sell_research,3348.37,3350.6254141036047,3346.114585896395,3350.6254141036047,sl,-0.02255414103604835,-2.255414103604835,-1.0,3
test,2025-07-08 11:30:00,2025-07-08 11:30:00,buy,range,range_buy_research,3328.61,3326.5481859903484,3330.671814009652,3326.5481859903484,sl,-0.020618140096516982,-2.061814009651698,-1.0,0
test,2025-07-08 12:15:00,2025-07-08 12:15:00,buy,range,range_buy_research,3324.39,3322.369503688336,3326.410496311664,3326.410496311664,tp,0.02020496311663919,2.020496311663919,1.0,0
test,2025-07-10 17:15:00,2025-07-10 17:15:00,buy,range,range_buy_research,3319.02,3316.192292391145,3321.8477076088548,3316.192292391145,sl,-0.028277076088547803,-2.82770760885478,-1.0,0
test,2025-07-16 07:15:00,2025-07-16 07:30:00,sell,range,range_sell_research,3333.9,3335.4663210830367,3332.3336789169634,3335.4663210830367,sl,-0.015663210830366554,-1.5663210830366552,-1.0,1
test,2025-07-16 16:00:00,2025-07-16 16:00:00,buy,range,range_buy_research,3334.63,3332.796961153046,3336.463038846954,3336.463038846954,tp,0.018330388469539684,1.8330388469539685,1.0,0
test,2025-07-18 06:45:00,2025-07-18 07:00:00,buy,range,range_buy_research,3336.11,3334.5547028019196,3337.6652971980807,3334.5547028019196,sl,-0.015552971980805524,-1.5552971980805523,-1.0,1
test,2025-07-18 08:00:00,2025-07-18 08:00:00,buy,range,range_buy_research,3337.08,3335.638475984584,3338.5215240154157,3338.5215240154157,tp,0.0144152401541578,1.44152401541578,1.0,0
test,2025-07-18 09:15:00,2025-07-18 09:15:00,buy,range,range_buy_research,3337.19,3335.5977013925453,3338.782298607455,3338.782298607455,tp,0.015922986074547226,1.5922986074547225,1.0,0
test,2025-07-21 11:30:00,2025-07-21 14:15:00,buy,trend_up,trend_buy_research,3365.6,3362.522309391281,3370.832074034822,3370.832074034822,tp,0.0523207403482229,5.23207403482229,1.7000000000000148,11
test,2025-07-23 12:45:00,2025-07-23 13:00:00,sell,range,range_sell_research,3431.24,3433.245742160321,3429.234257839679,3429.234257839679,tp,0.02005742160321006,2.005742160321006,1.0,1
test,2025-07-25 05:30:00,2025-07-25 05:30:00,buy,range,range_buy_research,3366.23,3364.6682990852373,3367.7917009147627,3364.6682990852373,sl,-0.015617009147626959,-1.561700914762696,-1.0,0
test,2025-07-25 06:30:00,2025-07-25 06:45:00,buy,range,range_buy_research,3361.33,3359.82879981449,3362.8312001855097,3359.82879981449,sl,-0.015012001855097878,-1.5012001855097878,-1.0,1
test,2025-07-28 07:15:00,2025-07-28 07:15:00,sell,range,range_sell_research,3342.28,3344.455393965668,3340.1046060343324,3340.1046060343324,tp,0.021753939656678087,2.1753939656678085,1.0,0
test,2025-07-29 09:15:00,2025-07-29 09:30:00,sell,range,range_sell_research,3319.88,3321.6491859506277,3318.1108140493725,3318.1108140493725,tp,0.01769185950627616,1.769185950627616,1.0,1
test,2025-07-29 17:15:00,2025-07-29 17:15:00,buy,range,range_buy_research,3317.67,3315.017045364973,3320.322954635027,3320.322954635027,tp,0.02652954635027072,2.652954635027072,1.0,0
test,2025-08-07 21:15:00,2025-08-07 21:30:00,sell,range,range_sell_research,3391.42,3393.920853727648,3388.919146272352,3388.919146272352,tp,0.025008537276480638,2.500853727648064,1.0,1
test,2025-08-08 17:45:00,2025-08-08 17:45:00,buy,range,range_buy_research,3386.9,3382.9957810436936,3390.8042189563066,3390.8042189563066,tp,0.039042189563065224,3.904218956306522,1.0,0
test,2025-08-12 09:45:00,2025-08-12 09:45:00,buy,range,range_buy_research,3348.86,3346.6622916911297,3351.0577083088706,3346.6622916911297,sl,-0.021977083088704604,-2.1977083088704603,-1.0,0
